난이도,분류,문제번호,제목,사용자,정답,메모리,시간,언어,코드길이,제출날짜
Bronze III,기하학/수학/피타고라스 정리,4153,직각삼각형,UNRANK,틀렸습니다,,,C++17,902,2022-04-16 14:45
Silver III,다이나믹 프로그래밍,1463,1로 만들기,Silver II,맞았습니다!!,38652,628,Python 3,196,2022-04-16 14:45
Gold V,너비 우선 탐색/그래프 이론/그래프 탐색,7576,토마토,Gold I,시간 초과,,,PyPy3,913,2022-04-16 14:45
Gold V,이분 탐색/매개 변수 탐색,2110,공유기 설치,Bronze II,틀렸습니다,,,Java 11,1191,2022-04-16 14:45
Gold V,다이나믹 프로그래밍/수학,2225,합분해,Platinum V,맞았습니다!!,31860,84,Python 3,262,2022-04-16 14:45
Silver V,그리디 알고리즘/문자열,1439,뒤집기,UNRANK,틀렸습니다,,,C++17,296,2022-04-16 14:45
Bronze III,사칙연산/수학,2884,알람 시계,UNRANK,틀렸습니다,,,C99,175,2022-04-16 14:44
Silver III,수학/정수론/소수 판정/에라토스테네스의 체,1929,소수 구하기,UNRANK,시간 초과,,,C++17,221,2022-04-16 14:44
Bronze V,사칙연산/구현/수학/사칙연산/구현/수학/자료 구조/분리 집합/제곱근 분할법,1000,A+B,Gold IV,맞았습니다!!,30840,72,Python 3,114,2022-04-16 14:44
Bronze II,자료 구조/구현/스택,17608,막대기,UNRANK,틀렸습니다,,,C++17,293,2022-04-16 14:44
Bronze V,구현,11654,아스키 코드,UNRANK,맞았습니다!!,30840,68,Python 3,80,2022-04-16 14:44
Silver III,수학/정렬,20186,수 고르기,Bronze V,19점,2020,0,C++17,387,2022-04-16 14:44
Bronze IV,사칙연산/구현/수학,1008,A/B,UNRANK,틀렸습니다,,,Java 8,247,2022-04-16 14:44
Bronze II,사칙연산/구현/수학,2577,숫자의 개수,Silver IV,컴파일 에러,,,Java 11,639,2022-04-16 14:44
Gold I,구현/시뮬레이션,21611,마법사 상어와 블리자드,Platinum V,틀렸습니다,,,C++17,4188,2022-04-16 14:44
Gold V,자료 구조/덱/구현/파싱/문자열,5430,AC,Silver III,맞았습니다!!,156808,1044,Java 8,2665,2022-04-16 14:44
Bronze II,구현/시뮬레이션,3943,헤일스톤 수열,Gold III,맞았습니다!!,1112,52,C++17,276,2022-04-16 14:44
Silver II,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1012,유기농 배추,Silver I,틀렸습니다,,,C++17,994,2022-04-16 14:44
Silver II,수학/정수론,17427,약수의 합 2,Silver III,시간 초과,,,node.js,302,2022-04-16 14:44
Gold II,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색/구현/시뮬레이션,2933,미네랄,Platinum V,맞았습니다!!,32596,1048,Python 3,2509,2022-04-16 14:44
Silver V,정렬/문자열,1427,소트인사이드,UNRANK,컴파일 에러,,,Java 11,556,2022-04-16 14:44
Platinum V,깊이 우선 탐색/오일러 경로/그래프 이론/그래프 탐색,1199,오일러 회로,Gold I,시간 초과,,,Python 3,751,2022-04-16 14:44
Silver II,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1260,DFS와 BFS,Silver IV,틀렸습니다,,,Python 3,891,2022-04-16 14:44
Gold V,이분 탐색/매개 변수 탐색,2110,공유기 설치,Bronze II,틀렸습니다,,,Java 11,1209,2022-04-16 14:44
Silver I,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,2667,단지번호붙이기,Gold IV,런타임 에러 (IndexError),,,Python 3,885,2022-04-16 14:44
Silver I,조합론/다이나믹 프로그래밍/수학,11051,이항 계수 2,Gold IV,메모리 초과,,,Python 3,172,2022-04-16 14:44
Silver I,백트래킹/브루트포스 알고리즘,14888,연산자 끼워넣기,Gold IV,맞았습니다!!,15412,576,Java 8,1161,2022-04-16 14:44
Bronze IV,사칙연산/수학,2525,오븐 시계,Not ratable,컴파일 에러,,,C++17,227,2022-04-16 14:44
Gold IV,자료 구조/그리디 알고리즘/스택,2812,크게 만들기,Diamond V,맞았습니다!!,2920,12,C++17,622,2022-04-16 14:44
Gold V,구현/정렬,16455,K번째 수 찾는 함수,Platinum IV,컴파일 에러,,,C++17,147,2022-04-16 14:44
Gold IV,자료 구조/그리디 알고리즘/우선순위 큐,1715,카드 정렬하기,Gold I,시간 초과,,,PyPy3,220,2022-04-16 14:44
Silver III,자료 구조/연결 리스트/스택,5397,키로거,Silver IV,맞았습니다!!,19468,476,C++17,784,2022-04-16 14:44
Bronze I,구현/정렬,11557,Yangjojang of The Year,Gold II,맞았습니다!!,30840,76,Python 3,365,2022-04-16 14:44
Bronze II,구현,1668,트로피 진열,Gold IV,맞았습니다!!,30840,72,Python 3,276,2022-04-16 14:44
Gold IV,다이나믹 프로그래밍/배낭 문제,23061,백남이의 여행 준비,Gold III,런타임 에러 (ZeroDivisionError),,,PyPy3,434,2022-04-16 14:44
Gold V,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,10026,적록색약,Gold III,맞았습니다!!,117968,196,PyPy3,1046,2022-04-16 14:44
Bronze III,사칙연산/수학,2884,알람 시계,Bronze I,맞았습니다!!,30840,68,Python 3,148,2022-04-16 14:44
Silver IV,브루트포스 알고리즘/구현,2503,숫자 야구,Gold II,맞았습니다!!,2024,0,C++20,990,2022-04-16 14:44
Bronze IV,사칙연산/수학,2525,오븐 시계,Bronze V,맞았습니다!!,2020,0,C++17,245,2022-04-16 14:44
Gold I,다익스트라/다이나믹 프로그래밍/그래프 이론,10217,KCM Travel,Gold III,맞았습니다!!,596688,17344,PyPy3,1522,2022-04-16 14:44
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1707,이분 그래프,Gold V,틀렸습니다,,,Python 3,891,2022-04-16 14:44
Silver I,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,2667,단지번호붙이기,Gold IV,런타임 에러 (IndexError),,,Python 3,888,2022-04-16 14:44
Gold III,너비 우선 탐색/그래프 이론/그래프 탐색,2146,다리 만들기,Gold I,메모리 초과,,,Java 11,2304,2022-04-16 14:44
Bronze V,구현,11654,아스키 코드,UNRANK,맞았습니다!!,30840,68,Python 3,27,2022-04-16 14:44
Gold I,다익스트라/다이나믹 프로그래밍/그래프 이론,10217,KCM Travel,Gold III,시간 초과,,,Python 3,1522,2022-04-16 14:44
Silver II,자료 구조/우선순위 큐,11279,최대 힙,Gold V,맞았습니다!!,34632,1464,Java 8,740,2022-04-16 14:44
Bronze V,구현,2557,Hello World,UNRANK,틀렸습니다,,,C++17,55,2022-04-16 14:43
Gold IV,다이나믹 프로그래밍/배낭 문제,23061,백남이의 여행 준비,Gold III,런타임 에러 (TypeError),,,PyPy3,437,2022-04-16 14:43
Bronze II,브루트포스 알고리즘,2798,블랙잭,Silver IV,맞았습니다!!,2020,0,C++17,556,2022-04-16 14:43
Bronze III,사칙연산/수학,2884,알람 시계,UNRANK,틀렸습니다,,,Python 3,74,2022-04-16 14:43
Bronze III,구현,10990,별 찍기 - 15,Silver I,맞았습니다!!,30840,80,Python 3,158,2022-04-16 14:43
Gold IV,구현/시뮬레이션,16235,나무 재테크,Gold II,런타임 에러 (IndexError),,,Python 3,2134,2022-04-16 14:43
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1707,이분 그래프,Silver I,틀렸습니다,,,Python 3,995,2022-04-16 14:43
Silver I,임의 정밀도 / 큰 수 연산/다이나믹 프로그래밍,3372,보드 점프,Gold I,맞았습니다!!,12036,188,node.js,1030,2022-04-16 14:43
Gold III,다이나믹 프로그래밍/누적 합,21757,나누기,Silver III,65점,3464,36,C++17,1933,2022-04-16 14:43
Gold IV,너비 우선 탐색/브루트포스 알고리즘/그래프 이론/그래프 탐색,17142,연구소 3,UNRANK,틀렸습니다,,,Python 3,1384,2022-04-16 14:43
Bronze IV,기하학/구현/수학,14681,사분면 고르기,Gold V,틀렸습니다,,,node.js,209,2022-04-16 14:43
Bronze IV,사칙연산/구현/수학,1008,A/B,UNRANK,맞았습니다!!,30840,72,Python 3,66,2022-04-16 14:43
Bronze III,사칙연산/수학,2884,알람 시계,Bronze I,틀렸습니다,,,Python 3,139,2022-04-16 14:43
Bronze V,구현,11654,아스키 코드,UNRANK,맞았습니다!!,30840,80,Python 3,27,2022-04-16 14:43
Bronze V,구현,11654,아스키 코드,UNRANK,맞았습니다!!,30840,72,Python 3,28,2022-04-16 14:43
Bronze V,구현,9653,스타워즈 로고,Gold II,맞았습니다!!,4528,0,Text,325,2022-04-16 14:43
Platinum V,깊이 우선 탐색/오일러 경로/그래프 이론/그래프 탐색,1199,오일러 회로,Gold I,런타임 에러 (TypeError),,,Python 3,751,2022-04-16 14:43
Bronze II,자료 구조/구현/스택,17608,막대기,UNRANK,틀렸습니다,,,C++17,316,2022-04-16 14:43
Bronze IV,기하학/구현/수학,14681,사분면 고르기,Gold V,틀렸습니다,,,node.js,193,2022-04-16 14:43
Bronze IV,사칙연산/수학,2480,주사위 세개,Bronze IV,맞았습니다!!,1112,0,C99,523,2022-04-16 14:43
Bronze I,사칙연산/수학,4344,평균은 넘겠지,UNRANK,틀렸습니다,,,C++17,369,2022-04-16 14:43
Bronze V,사칙연산/구현/수학,10869,사칙연산,Bronze III,맞았습니다!!,1112,0,C++17,200,2022-04-16 14:43
Bronze II,사칙연산/구현/수학,2577,숫자의 개수,Silver IV,컴파일 에러,,,Java 11,608,2022-04-16 14:43
Gold II,이분 탐색/가장 긴 증가하는 부분 수열: O(n log n),12015,가장 긴 증가하는 부분 수열 2,Silver II,틀렸습니다,,,PyPy3,197,2022-04-16 14:43
Silver III,백트래킹,15651,N과 M (3),Silver II,맞았습니다!!,2020,336,C++17,614,2022-04-16 14:43
Bronze III,구현,2439,별 찍기 - 2,UNRANK,맞았습니다!!,1112,0,C++17,259,2022-04-16 14:43
Silver I,재귀/트리,1991,트리 순회,Gold III,맞았습니다!!,9352,140,node.js,951,2022-04-16 14:43
Silver V,정렬,10989,수 정렬하기 3,Platinum V,메모리 초과,,,C++17,348,2022-04-16 14:43
Gold V,이분 탐색/매개 변수 탐색,2110,공유기 설치,UNRANK,시간 초과,,,Python 3,635,2022-04-16 14:43
Silver I,백트래킹/브루트포스 알고리즘,14888,연산자 끼워넣기,UNRANK,맞았습니다!!,1112,0,C++17,759,2022-04-16 14:43
Bronze III,사칙연산/수학,2884,알람 시계,UNRANK,틀렸습니다,,,Python 3,78,2022-04-16 14:43
Bronze IV,사칙연산/수학,2525,오븐 시계,Bronze V,틀렸습니다,,,C++17,244,2022-04-16 14:43
Gold V,백트래킹/조합론/수학/문자열,6443,애너그램,Gold III,시간 초과,,,PyPy3,237,2022-04-16 14:43
Silver I,백트래킹/브루트포스 알고리즘,14888,연산자 끼워넣기,UNRANK,런타임 에러 (WithoutReturning),,,C++17,758,2022-04-16 14:43
Silver V,정렬,10989,수 정렬하기 3,Platinum V,메모리 초과,,,C++17,348,2022-04-16 14:43
Bronze V,구현/수학,1550,16진수,Bronze V,맞았습니다!!,30840,72,Python 3,35,2022-04-16 14:43
Bronze I,구현/정렬,2750,수 정렬하기,UNRANK,맞았습니다!!,30840,280,Python 3,335,2022-04-16 14:43
Bronze III,사칙연산/구현/수학,10951,A+B - 4,Bronze V,맞았습니다!!,1112,0,C++17,131,2022-04-16 14:43
Diamond V,자료 구조/분리 집합/그래프 이론/그리디 알고리즘,10071,Game,Diamond III,15점,2024,0,C++17,768,2022-04-16 14:43
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1707,이분 그래프,Gold V,출력 초과,,,Python 3,1898,2022-04-16 14:43
Bronze II,사칙연산/수학/문자열,11720,숫자의 합,Silver V,맞았습니다!!,30840,68,Python 3,81,2022-04-16 14:42
Silver I,다이나믹 프로그래밍,2156,포도주 시식,UNRANK,맞았습니다!!,19572,172,Kotlin (JVM),500,2022-04-16 14:42
Gold V,구현/정렬,16455,K번째 수 찾는 함수,Platinum IV,컴파일 에러,,,C++17,126,2022-04-16 14:42
Gold V,다이나믹 프로그래밍/수학,2225,합분해,Platinum V,틀렸습니다,,,Python 3,240,2022-04-16 14:42
Gold V,다이나믹 프로그래밍/배낭 문제,12865,평범한 배낭,Silver II,맞았습니다!!,33668,4948,Python 3,372,2022-04-16 14:42
Gold V,백트래킹/조합론/수학/문자열,6443,애너그램,Gold III,시간 초과,,,Python 3,237,2022-04-16 14:42
Gold V,다이나믹 프로그래밍,2133,타일 채우기,UNRANK,틀렸습니다,,,C++17,201,2022-04-16 14:42
Gold V,구현,16927,배열 돌리기 2,Gold I,시간 초과,,,PyPy3,945,2022-04-16 14:42
Bronze I,조합론/구현/수학,11050,이항 계수 1,Silver III,맞았습니다!!,30840,76,Python 3,176,2022-04-16 14:42
Bronze II,사칙연산/수학,3052,나머지,Bronze I,맞았습니다!!,14220,124,Java 11,701,2022-04-16 14:42
Silver I,구현/문자열/두 포인터,17609,회문,Gold I,메모리 초과,,,PyPy3,487,2022-04-16 14:42
Silver V,수학,1312,소수,Bronze V,틀렸습니다,,,C++17,256,2022-04-16 14:42
Silver II,브루트포스 알고리즘/구현,1421,나무꾼 이다솜,Gold II,틀렸습니다,,,Java 11,1105,2022-04-16 14:42
Gold II,백트래킹/브루트포스 알고리즘/구현/시뮬레이션,12100,2048 (Easy),Platinum V,틀렸습니다,,,C++11,5254,2022-04-16 14:42
Silver IV,자료 구조/큐,1158,요세푸스 문제,UNRANK,컴파일 에러,,,C++17,1542,2022-04-16 14:42
Bronze IV,구현,9498,시험 성적,UNRANK,맞았습니다!!,1116,0,C99,379,2022-04-16 14:42
Bronze IV,구현/수학,2753,윤년,UNRANK,틀렸습니다,,,Java 11,305,2022-04-16 14:42
Gold V,구현/정렬,16455,K번째 수 찾는 함수,Platinum IV,컴파일 에러,,,C++17,109,2022-04-16 14:42
Bronze II,사칙연산/구현/수학,15596,정수 N개의 합,UNRANK,맞았습니다!!,422968,20,Java 8,138,2022-04-16 14:42
Gold IV,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,1707,이분 그래프,Silver I,맞았습니다!!,67736,1572,Python 3,817,2022-04-16 14:42
Gold II,자료 구조/분리 집합/그리디 알고리즘,10775,공항,Platinum V,시간 초과,,,Java 8,1013,2022-04-16 14:41
Bronze III,기하학/수학/피타고라스 정리,4153,직각삼각형,UNRANK,맞았습니다!!,5608,68,C#,1417,2022-04-16 14:41
Gold V,자료 구조/덱/구현/큐/시뮬레이션,3190,뱀,Gold II,틀렸습니다,,,Java 8,1481,2022-04-16 14:41
Gold III,다이나믹 프로그래밍/누적 합,21757,나누기,Silver III,7점,3460,32,C++17,1912,2022-04-16 14:41
Silver V,수학,1312,소수,Bronze V,컴파일 에러,,,C++17,87,2022-04-16 14:41
Silver V,유클리드 호제법/수학/정수론,2609,최대공약수와 최소공배수,Silver II,맞았습니다!!,30840,68,Python 3,137,2022-04-16 14:41
Bronze IV,사칙연산/수학,2525,오븐 시계,Bronze V,틀렸습니다,,,C++17,215,2022-04-16 14:41
Gold V,구현/정렬,16455,K번째 수 찾는 함수,Platinum IV,컴파일 에러,,,C++17,104,2022-04-16 14:41
Silver III,백트래킹,15649,N과 M (1),Silver I,맞았습니다!!,33628,308,Java 11,1165,2022-04-16 14:41
Silver II,분할 정복/재귀,1780,종이의 개수,Gold III,맞았습니다!!,20720,348,C++17,979,2022-04-16 14:41
Silver IV,자료 구조/큐,1158,요세푸스 문제,Silver V,맞았습니다!!,30840,80,Python 3,345,2022-04-16 14:41
Bronze II,자료 구조/구현/스택,17608,막대기,UNRANK,틀렸습니다,,,C++17,315,2022-04-16 14:41
Gold V,자료 구조/덱/구현/큐/시뮬레이션,3190,뱀,Gold II,런타임 에러 (main class Main),,,Java 8,1499,2022-04-16 14:41
Gold II,백트래킹/브루트포스 알고리즘/구현/시뮬레이션,12100,2048 (Easy),Platinum V,출력 초과,,,C++11,5242,2022-04-16 14:41
Bronze III,사칙연산/구현/수학,10951,A+B - 4,UNRANK,출력 초과,,,C++17,149,2022-04-16 14:41
Bronze V,임의 정밀도 / 큰 수 연산/사칙연산/수학,22193,Multiply,Silver V,런타임 에러 (Format),,,C#,128,2022-04-16 14:41
Bronze III,사칙연산/수학,2884,알람 시계,UNRANK,틀렸습니다,,,C++17,175,2022-04-16 14:41
Silver I,너비 우선 탐색/깊이 우선 탐색/그래프 이론/그래프 탐색,2667,단지번호붙이기,Bronze I,틀렸습니다,,,C++17,2820,2022-04-16 14:41
Gold II,다익스트라/그래프 이론,9370,미확인 도착지,Gold III,틀렸습니다,,,Java 8,3750,2022-04-16 14:41
Silver IV,자료 구조/구현/큐,11866,요세푸스 문제 0,Gold V,맞았습니다!!,14168,124,Java 11,876,2022-04-16 14:41
Gold V,다이나믹 프로그래밍,2133,타일 채우기,UNRANK,틀렸습니다,,,C++17,154,2022-04-16 14:41
Bronze I,수학,2869,달팽이는 올라가고 싶다,UNRANK,틀렸습니다,,,C99,172,2022-04-16 14:41
Gold V,다이나믹 프로그래밍,2133,타일 채우기,Gold II,틀렸습니다,,,C++17,219,2022-04-16 14:41
Silver V,정렬,14729,칠무해,Diamond V,맞았습니다!!,1628,1880,C99,129,2022-04-16 14:41
Bronze I,수학,2869,달팽이는 올라가고 싶다,Silver V,시간 초과,,,Python 3,251,2022-04-16 14:41
Bronze IV,사칙연산/수학,5532,방학 숙제,Diamond IV,맞았습니다!!,32952,68,Python 3,124,2022-04-16 14:41
Platinum IV,KMP/문자열,1305,광고,Platinum IV,맞았습니다!!,5996,12,C++14,590,2022-04-16 14:41
Bronze III,구현,2446,별 찍기 - 9,UNRANK,맞았습니다!!,1116,0,C99,428,2022-04-16 14:41
Gold I,조합론/분할 정복을 이용한 거듭제곱/페르마의 소정리/수학/모듈로 곱셈 역원/정수론,11401,이항 계수 3,Gold IV,틀렸습니다,,,PyPy3,1073,2022-04-16 14:41
Gold IV,너비 우선 탐색/그래프 이론/그래프 탐색,13913,숨바꼭질 4,Silver II,틀렸습니다,,,C++17,1087,2022-04-16 14:41
Silver I,백트래킹/브루트포스 알고리즘,14888,연산자 끼워넣기,Gold V,맞았습니다!!,118032,244,PyPy3,810,2022-04-16 14:41
Silver II,이분 탐색/수학/정수론/누적 합/소수 판정/에라토스테네스의 체,11423,Primes,Gold I,컴파일 에러,,,PyPy3,355,2022-04-16 14:41
Bronze II,구현,1668,트로피 진열,Gold IV,틀렸습니다,,,Python 3,344,2022-04-16 14:41
Silver IV,수학/정수론/소수 판정/에라토스테네스의 체,1978,소수 찾기,UNRANK,맞았습니다!!,30840,72,Python 3,763,2022-04-16 14:41
Gold V,이분 탐색/매개 변수 탐색,2110,공유기 설치,UNRANK,시간 초과,,,Python 3,586,2022-04-16 14:41
Bronze IV,기하학/구현/수학,14681,사분면 고르기,Gold V,맞았습니다!!,9452,140,node.js,284,2022-04-16 14:41
Bronze II,사칙연산/구현/수학,2577,숫자의 개수,Silver IV,컴파일 에러,,,Java 11,601,2022-04-16 14:41
Bronze III,사칙연산/수학,2884,알람 시계,UNRANK,틀렸습니다,,,C++17,170,2022-04-16 14:41
Silver III,다이나믹 프로그래밍,11726,2×n 타일링,UNRANK,틀렸습니다,,,Python 3,124,2022-04-16 14:41
Gold V,다이나믹 프로그래밍,2133,타일 채우기,Gold II,틀렸습니다,,,C++17,217,2022-04-16 14:41
Bronze V,사칙연산/구현/수학,10869,사칙연산,UNRANK,틀렸습니다,,,C++17,182,2022-04-16 14:40
Bronze I,구현/정렬,2750,수 정렬하기,UNRANK,틀렸습니다,,,Python 3,383,2022-04-16 14:40
Bronze IV,사칙연산/수학,10039,평균 점수,Silver III,맞았습니다!!,2020,0,C++17,236,2022-04-16 14:40
Bronze IV,구현,17863,FYI,Silver I,런타임 에러 (TypeError),,,PyPy3,40,2022-04-16 14:40
Silver II,자료 구조/우선순위 큐,11279,최대 힙,Gold V,시간 초과,,,Java 8,530,2022-04-16 14:40
Bronze III,구현/수학,10818,"최소, 최대",UNRANK,런타임 에러 (OutOfBounds),,,C11,364,2022-04-16 14:40
Silver I,다이나믹 프로그래밍/그래프 이론/그래프 탐색,12852,1로 만들기 2,Platinum III,맞았습니다!!,61980,260,Java 11,2306,2022-04-16 14:40
Bronze I,수학,2869,달팽이는 올라가고 싶다,Silver IV,시간 초과,,,Java 11,441,2022-04-16 14:40
